sample_ID,treatment,replicate,plate,well,nFeature_RNA,nCount_RNA
TNFSF10_group2_plate2_H04,TNFSF10,group2,plate2,H04,12538,1139115
IL10_group2_plate2_F01,IL10,group2,plate2,F01,12163,1110727
IL1F6_group2_plate2_D09,IL1F6,group2,plate2,D09,12111,1057241
CXCL10_group2_plate2_G12,CXCL10,group2,plate2,G12,12489,990249
IL2_group2_plate2_B07,IL2,group2,plate2,B07,13129,1827181
IL21_group2_plate2_A02,IL21,group2,plate2,A02,13471,1979399
CCL8_group2_plate2_E12,CCL8,group2,plate2,E12,11833,936612
IL16_group2_plate2_B05,IL16,group2,plate2,B05,12486,1317074
INHBB_group2_plate2_A11,INHBB,group2,plate2,A11,13665,2095093
IL7_group2_plate2_F02,IL7,group2,plate2,F02,12484,1143245
TNFSF9_group2_plate2_G04,TNFSF9,group2,plate2,G04,11991,912616
CCL28_group2_plate2_B04,CCL28,group2,plate2,B04,12517,1226784
MIF_group2_plate2_C11,MIF,group2,plate2,C11,11395,757092
IL11_group2_plate2_G01,IL11,group2,plate2,G01,11543,642098
GDF7_group2_plate2_A01,GDF7,group2,plate2,A01,12864,1606220
IL17B_group2_plate2_D05,IL17B,group2,plate2,D05,11829,937085
CCL12_group2_plate2_D03,CCL12,group2,plate2,D03,11600,789441
CXCL12_group2_plate2_A10,CXCL12,group2,plate2,A10,13033,1559292
TNFSF4_group2_plate2_E04,TNFSF4,group2,plate2,E04,11842,907191
TNFSF12_group2_plate2_A06,TNFSF12,group2,plate2,A06,12803,1426176
linker_group2_plate2_H09,linker,group2,plate2,H09,12020,901600
BMP7_group2_plate2_C03,BMP7,group2,plate2,C03,11734,843906
CCL7_group2_plate2_D12,CCL7,group2,plate2,D12,12542,1234133
WNT1_group2_plate2_E08,WNT1,group2,plate2,E08,12156,1058093
linker_group2_plate2_G11,linker,group2,plate2,G11,11805,836829
TGFB3_group2_plate2_A08,TGFB3,group2,plate2,A08,13432,1967393
TGFB2_group2_plate2_H11,TGFB2,group2,plate2,H11,12310,1074734
IL12_group2_plate2_E07,IL12,group2,plate2,E07,12343,1297566
MSTN_group2_plate2_D11,MSTN,group2,plate2,D11,12437,1213511
CCL21A_group2_plate2_G03,CCL21A,group2,plate2,G03,12865,1464003
CCL25_group2_plate2_H03,CCL25,group2,plate2,H03,12815,1139437
IFNK_group2_plate2_E01,IFNK,group2,plate2,E01,12632,1449786
IL23_group2_plate2_F07,IL23,group2,plate2,F07,11786,926118
TNFSF18_group2_plate2_E06,TNFSF18,group2,plate2,E06,12247,1121804
IL17F_group2_plate2_F05,IL17F,group2,plate2,F05,11463,780334
BMP4_group3_plate3_H02,BMP4,group3,plate3,H02,12233,932060
IL4_group3_plate3_B01,IL4,group3,plate3,B01,12800,1537189
WNT3A_group3_plate3_A09,WNT3A,group3,plate3,A09,12600,1228515
CCL25_group3_plate3_C02,CCL25,group3,plate3,C02,11878,867528
TGFB2_group3_plate3_C08,TGFB2,group3,plate3,C08,11475,837297
CTF1_group3_plate3_A03,CTF1,group3,plate3,A03,12202,1061068
ADIPOQ_group3_plate3_F10,ADIPOQ,group3,plate3,F10,11359,726363
IFNK_group3_plate3_G05,IFNK,group3,plate3,G05,11583,786653
IL13_group3_plate3_C05,IL13,group3,plate3,C05,11170,654067
IL1F8_group3_plate3_G10,IL1F8,group3,plate3,G10,11442,708160
TNFSF8_group3_plate3_A12,TNFSF8,group3,plate3,A12,13112,1514666
BMP7_group3_plate3_B02,BMP7,group3,plate3,B02,11619,762051
